sstart,ssample_end_date,selected_features
52,2016-12-01,"target, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, USDCAD_new_lag2, EMP_FOR_OIL_CAN, hstart_CAN_new_lag2, UNEMP_DURA_27._CAN_lag3, WTISPLC_lag1"
53,2017-01-01,"target, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, USDCAD_new_lag2, EMP_FOR_OIL_CAN, hstart_CAN_new_lag2, WTISPLC_lag1, UNEMP_DURA_27._CAN_lag3"
54,2017-02-01,"target, UNEMP_DURA_27._CAN_lag3, IPPI_MACH_CAN_lag2, IPPI_MOTOR_CAN_lag2, EOIL_BP_new, EX_TRANSP_BP_new_lag1, USDCAD_new_lag2, WTISPLC_lag1"
55,2017-03-01,"target, UNEMP_DURA_27._CAN_lag3, EOIL_BP_new, IPPI_MOTOR_CAN_lag2, IPPI_MACH_CAN_lag2, EX_TRANSP_BP_new_lag1, USDCAD_new_lag2, RES_IMF_lag3"
56,2017-04-01,"target, EOIL_BP_new, UNEMP_DURA_27._CAN_lag3, IPPI_MACH_CAN_lag2, EX_TRANSP_BP_new_lag1, IPPI_MOTOR_CAN_lag2, CRED_HOUS_cb_lag2, RES_IMF_lag3"
57,2017-05-01,"target, EOIL_BP_new, UNEMP_DURA_27._CAN_lag3, EX_TRANSP_BP_new_lag1, CRED_HOUS_cb_lag2, IPPI_MACH_CAN_lag2, UNEMP_DURA_14.25_CAN_lag1, RES_IMF_lag3"
58,2017-06-01,"target, hstart_CAN_new_lag2, EOIL_BP_new, UNEMP_DURA_14.25_CAN_lag1, UNEMP_DURA_27._CAN_lag3, EX_TRANSP_BP_new_lag1, UNEMP_DURA_5.13_CAN_lag2, CRED_HOUS_cb_lag2"
59,2017-07-01,"target, hstart_CAN_new_lag2, EOIL_BP_new, UNEMP_DURA_14.25_CAN_lag1, CRED_HOUS_cb_lag2, UNEMP_DURA_27._CAN_lag3, UNEMP_DURA_5.13_CAN_lag2, EX_TRANSP_BP_new_lag1"
60,2017-08-01,"target, hstart_CAN_new_lag2, EOIL_BP_new, EX_TRANSP_BP_new_lag1, IMP_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, IPPI_WOOD_CAN, UNEMP_DURA_14.25_CAN_lag1"
61,2017-09-01,"target, EOIL_BP_new, hstart_CAN_new_lag2, IPPI_WOOD_CAN, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, UNEMP_DURA_5.13_CAN_lag2"
62,2017-10-01,"target, EX_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, IPPI_WOOD_CAN, WTISPLC_lag1"
63,2017-11-01,"target, EX_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, IPPI_WOOD_CAN, UNEMP_DURA_5.13_CAN_lag1"
64,2017-12-01,"target, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EOIL_BP_new, CRED_BUS, EMP_CAN"
65,2018-01-01,"target, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, CRED_BUS, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EOIL_BP_new, EMP_CAN"
66,2018-02-01,"target, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, IPPI_WOOD_CAN, EMP_SERV_CAN, EX_ENER_BP_new"
67,2018-03-01,"target, GOOD_HRS_CAN_lag1, IMP_TRANSP_BP_new_lag1, hstart_CAN_new_lag2, EX_TRANSP_BP_new_lag1, IPPI_WOOD_CAN, EX_ENER_BP_new, EMP_SERV_CAN"
68,2018-04-01,"target, GOOD_HRS_CAN_lag1, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, hstart_CAN_new_lag2, EMP_SERV_CAN, EX_ENER_BP_new, EOIL_BP_new"
69,2018-05-01,"target, GOOD_HRS_CAN_lag1, IMP_TRANSP_BP_new_lag1, EX_TRANSP_BP_new_lag1, hstart_CAN_new_lag2, EMP_SERV_CAN, IPPI_MOTOR_CAN, WTISPLC"
70,2018-06-01,"target, IMP_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EMP_SERV_CAN, IPPI_WOOD_CAN, IPPI_MOTOR_CAN, EX_TRANSP_BP_new_lag1"
71,2018-07-01,"target, IMP_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, hstart_CAN_new_lag2, EX_TRANSP_BP_new_lag1, EMP_SERV_CAN, IPPI_MOTOR_CAN, EMP_CAN"
72,2018-08-01,"target, IMP_TRANSP_BP_new_lag1, hstart_CAN_new_lag2, EMP_SERV_CAN, GOOD_HRS_CAN_lag1, WTISPLC, EMP_CAN, IPPI_WOOD_CAN"
73,2018-09-01,"target, EMP_SERV_CAN, EMP_CAN, IMP_TRANSP_BP_new_lag1, GOOD_HRS_CAN_lag1, EOIL_BP_new, hstart_CAN_new_lag2, EX_TRANSP_BP_new_lag1"
74,2018-10-01,"target, EMP_SERV_CAN, IMP_TRANSP_BP_new_lag1, EMP_CAN, EOIL_BP_new, WTISPLC, EX_TRANSP_BP_new_lag1, hstart_CAN_new_lag2"
75,2018-11-01,"target, EMP_SERV_CAN, EMP_CAN, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, EX_TRANSP_BP_new_lag1, WTISPLC, EX_ENER_BP_new"
76,2018-12-01,"target, EMP_SERV_CAN, EMP_CAN, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, WTISPLC, IPPI_MOTOR_CAN, EX_TRANSP_BP_new_lag1"
77,2019-01-01,"target, EMP_SERV_CAN, EMP_CAN, EOIL_BP_new, IMP_TRANSP_BP_new_lag1, WTISPLC, IPPI_MOTOR_CAN, EX_TRANSP_BP_new_lag1"
78,2019-02-01,"target, EMP_SERV_CAN, EMP_CAN, EOIL_BP_new, IPPI_MOTOR_CAN, WTISPLC, USDCAD_new, CRED_BUS"
79,2019-03-01,"target, EMP_SERV_CAN, EOIL_BP_new, WTISPLC, EMP_CAN, IPPI_MOTOR_CAN, USDCAD_new, GOOD_HRS_CAN_lag1"
80,2019-04-01,"target, EMP_SERV_CAN, GOOD_HRS_CAN_lag1, IMP_TRANSP_BP_new_lag1, EOIL_BP_new, EMP_CAN, EX_TRANSP_BP_new_lag1, WTISPLC"
