sstart,ssample_end_date,selected_features
85,2019-09-01,"target, BANK_RATE_L_lag2, Finance...11_lag2, Finance...30_lag2, hstart_CAN_new, TBILL_6M.Bank_rate_lag3, EMP_FIN_CAN_lag3, G_AVG_10p.TBILL_3M"
86,2019-10-01,"target, BANK_RATE_L_lag2, EMP_FIN_CAN_lag3, hstart_CAN_new, Finance...30_lag2, Finance...11_lag2, TBILL_6M.Bank_rate_lag3, G_AVG_10p.TBILL_3M"
87,2019-11-01,"target, BANK_RATE_L_lag2, hstart_CAN_new, EMP_FIN_CAN_lag3, G_AVG_10p.TBILL_3M, TOT_HRS_CAN_lag2, Mining_lag2, Finance...30_lag2"
88,2019-12-01,"target, BANK_RATE_L_lag2, hstart_CAN_new, G_AVG_10p.TBILL_3M, TOT_HRS_CAN_lag2, CAN_US_SEC_NETFLOW_lag2, GOV_AVG_1_3Y, TBILL_6M.Bank_rate_lag3"
89,2020-01-01,"target, BANK_RATE_L_lag2, hstart_CAN_new, G_AVG_10p.TBILL_3M, TOT_HRS_CAN_lag2, TBILL_6M.Bank_rate_lag3, Army_lag3, EX_MINER_BP_new_lag3"
90,2020-02-01,"target, BANK_RATE_L_lag2, hstart_CAN_new, TOT_HRS_CAN_lag2, Mining_lag2, G_AVG_10p.TBILL_3M, Army_lag3, trade_lag1"
91,2020-03-01,"target, TOT_HRS_CAN_lag2, Mining_lag2, CRED_BUS_cb_lag3, G_AVG_10p.TBILL_3M, BANK_RATE_L_lag2, EMP_FIN_CAN_lag3, EX_MINER_BP_new_lag3"
92,2020-04-01,"target, Mining_lag2, EX_MINER_BP_new_lag3, TOT_HRS_CAN_lag2, BANK_RATE_L_lag2, EMP_FIN_CAN_lag3, Finance...30_lag3, Finance...11_lag3"
93,2020-05-01,"target, EX_MINER_BP_new_lag3, Mining_lag2, BANK_RATE_L_lag2, IPPI_CAN, EMP_FIN_CAN_lag3, Services_lag2, Army_lag3"
94,2020-06-01,"target, EX_MINER_BP_new_lag3, Mining_lag2, BANK_RATE_L_lag2, EMP_FIN_CAN_lag3, Services_lag2, TOT_HRS_CAN_lag2, G_AVG_10p.TBILL_3M"
95,2020-07-01,"target, EX_MINER_BP_new_lag3, TOT_HRS_CAN_lag2, EX_ENER_BP_new, IPPI_CAN, EMP_FIN_CAN_lag3, Small.business_lag1, Services_lag2"
96,2020-08-01,"target, EX_MINER_BP_new_lag3, TOT_HRS_CAN_lag2, EMP_FIN_CAN_lag3, IPPI_CAN, EX_ENER_BP_new, Small.business_lag1, EX_MINER_BP_new_lag2"
97,2020-09-01,"target, EX_MINER_BP_new_lag3, TOT_HRS_CAN_lag2, MORTG_1Y, CPI_DUR_CAN_lag2, TBILL_3M_lag2, EMP_FIN_CAN_lag3, TOT_HRS_CAN_lag3"
98,2020-10-01,"target, EX_MINER_BP_new_lag3, TOT_HRS_CAN_lag2, CPI_DUR_CAN_lag2, EMP_FIN_CAN_lag3, MORTG_1Y, Small.business_lag1, Electricity_lag1"
99,2020-11-01,"target, EX_MINER_BP_new_lag3, CPI_DUR_CAN_lag2, EMP_FIN_CAN_lag3, MORTG_1Y, TOT_HRS_CAN_lag2, Electricity_lag1, CRED_MORT_HOUSE_cb_lag1"
100,2020-12-01,"target, CPI_DUR_CAN_lag2, MORTG_1Y, EX_MINER_BP_new_lag3, TBILL_3M_lag2, Electricity_lag1, TOT_HRS_CAN_lag2, EMP_FIN_CAN_lag3"
101,2021-01-01,"target, MORTG_1Y, Electricity_lag1, TBILL_3M_lag2, EMP_SERV_CAN_lag1, EMP_FIN_CAN_lag3, TOT_HRS_CAN_lag2, CPI_DUR_CAN_lag2"
102,2021-02-01,"target, TBILL_3M_lag2, CPI_DUR_CAN_lag2, Electricity_lag1, EMP_SERV_CAN_lag1, EMP_FIN_CAN_lag3, TOT_HRS_CAN_lag2, Services_lag2"
103,2021-03-01,"target, TBILL_3M_lag2, Electricity_lag1, EMP_FIN_CAN_lag3, EMP_SERV_CAN_lag1, CPI_DUR_CAN_lag2, TOT_HRS_CAN_lag2, CAN_EQTY_NETFLOW_lag3"
104,2021-04-01,"target, Electricity_lag1, TBILL_3M_lag2, CPI_DUR_CAN_lag2, EMP_FIN_CAN_lag3, CAN_EQTY_NETFLOW_lag3, Services_lag2, EMP_SERV_CAN_lag1"
105,2021-05-01,"target, Electricity_lag1, TBILL_3M_lag2, EMP_FIN_CAN_lag3, CPI_DUR_CAN_lag2, Services_lag2, Mining_lag3, CAN_EQTY_NETFLOW_lag3"
106,2021-06-01,"target, TBILL_3M_lag2, Mining_lag3, EMP_FIN_CAN_lag3, CPI_DUR_CAN_lag2, Electricity_lag1, rental_lag2, TBILL_6M_lag2"
107,2021-07-01,"target, TBILL_3M_lag2, Mining_lag3, EMP_FIN_CAN_lag3, CPI_DUR_CAN_lag2, Electricity_lag1, rental_lag2, TSX_LO_lag3"
108,2021-08-01,"target, TBILL_3M_lag2, Mining_lag3, CPI_DUR_CAN_lag2, EMP_FIN_CAN_lag3, EMP_FOR_OIL_CAN_lag3, TOT_HRS_CAN_lag2, Electricity_lag1"
