sstart,ssample_end_date,selected_features
94,2020-06-01,"target, EX_MINER_BP_new, EX_METAL_BP_new_lag2, MORTG_5Y_lag3, EMP_FIN_CAN, TBILL_6M.Bank_rate_lag2, UNEMP_CAN_lag1, UNEMP_DURA_27._CAN_lag3"
95,2020-07-01,"target, EX_MINER_BP_new, EMP_FIN_CAN, EX_METAL_BP_new_lag2, MORTG_5Y_lag3, UNEMP_CAN_lag1, UNEMP_DURA_27._CAN_lag3, TBILL_6M.Bank_rate_lag2"
96,2020-08-01,"target, EX_MINER_BP_new, EMP_FIN_CAN, EX_METAL_BP_new_lag2, MORTG_5Y_lag3, TBILL_6M.Bank_rate_lag2, UNEMP_DURA_27._CAN_lag3, UNEMP_CAN_lag1"
97,2020-09-01,"target, EMP_FIN_CAN, EX_MINER_BP_new, TBILL_6M.Bank_rate_lag2, EX_METAL_BP_new_lag2, UNEMP_DURA_27._CAN_lag3, MORTG_5Y_lag1, CPI_ALL_CAN_lag3"
98,2020-10-01,"target, EX_METAL_BP_new_lag2, EMP_FIN_CAN, EOIL_BP_new_lag2, EX_MINER_BP_new, EX_MINER_BP_new_lag3, CRED_HOUS_MORT_lag1, CPI_GOO_CAN_lag3"
99,2020-11-01,"target, EX_MINER_BP_new, EX_METAL_BP_new_lag2, EOIL_BP_new_lag2, CPI_GOO_CAN_lag3, CRED_HOUS_MORT_lag1, EMP_FIN_CAN, CPI_ALL_CAN_lag3"
100,2020-12-01,"target, EX_MINER_BP_new, CPI_GOO_CAN_lag3, EX_METAL_BP_new_lag2, EOIL_BP_new_lag2, CRED_HOUS_MORT_lag1, EMP_FIN_CAN, Imp_BP_new_lag3"
101,2021-01-01,"target, EX_MINER_BP_new, CRED_HOUS_MORT_lag1, CPI_GOO_CAN_lag3, EOIL_BP_new_lag2, EX_METAL_BP_new_lag2, EMP_FIN_CAN, Imp_BP_new_lag3"
102,2021-02-01,"target, CRED_HOUS_MORT_lag1, EX_MINER_BP_new, CPI_GOO_CAN_lag3, EMP_FIN_CAN, EOIL_BP_new_lag2, CRED_HOUS_lag1, EX_METAL_BP_new_lag2"
103,2021-03-01,"target, CPI_GOO_CAN_lag3, CPI_ALL_CAN_lag3, CRED_HOUS_MORT_lag1, Imp_BP_new_lag3, CRED_HOUS_lag1, CPI_MINUS_FOO_CAN_lag3, EMP_FOR_OIL_CAN"
104,2021-04-01,"target, CPI_GOO_CAN_lag3, CPI_ALL_CAN_lag3, CRED_HOUS_lag1, Imp_BP_new_lag3, CRED_HOUS_MORT_lag1, CPI_SHEL_CAN_lag3, CPI_MINUS_FOO_CAN_lag3"
105,2021-05-01,"target, CPI_GOO_CAN_lag3, CPI_ALL_CAN_lag3, Imp_BP_new_lag3, CRED_HOUS_lag1, CPI_MINUS_FOO_CAN_lag3, EX_TRANSP_BP_new_lag3, IMP_TRANSP_BP_new_lag3"
106,2021-06-01,"target, CPI_GOO_CAN_lag3, CPI_ALL_CAN_lag3, Imp_BP_new_lag3, CPI_MINUS_FOO_CAN_lag3, CRED_HOUS_lag1, EX_TRANSP_BP_new_lag3, EMP_FOR_OIL_CAN"
107,2021-07-01,"target, CPI_GOO_CAN_lag3, CPI_ALL_CAN_lag3, Imp_BP_new_lag3, CRED_HOUS_lag1, CPI_MINUS_FOO_CAN_lag3, EX_TRANSP_BP_new_lag3, EMP_FOR_OIL_CAN"
108,2021-08-01,"target, CPI_ALL_CAN_lag3, CPI_GOO_CAN_lag3, CPI_MINUS_FOO_CAN_lag3, CRED_HOUS_lag1, CPI_SHEL_CAN_lag3, Imp_BP_new_lag3, N_DUR_INV_RAT_new_lag3"
